Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
SEP 2017
","
SEP 2017
","

Show Price Chart

",2472.00,-1.00,2473.00,2474.00,2474.25,2470.75,"17,077",2594.50 / 2347.50,19:31:21 CT 09 Aug 2017
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",2470.25,-0.75,2471.00,2471.00,2471.00,2469.00,29,2592.50 / 2345.50,19:13:13 CT 09 Aug 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",-,-,2469.50,-,-,-,0,2591.00 / 2344.00,18:19:28 CT 09 Aug 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2468.75,-,-,-,0,2590.00 / 2343.00,18:21:10 CT 09 Aug 2017
"
SEP 2018
","
SEP 2018
","

Show Price Chart

",-,-,2468.25,-,-,-,0,2589.50 / 2342.50,18:17:24 CT 09 Aug 2017
"
DEC 2018
","
DEC 2018
","

Show Price Chart

",-,-,-,-,-,-,0,-,-
