Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",2526.00,-0.25,2526.25,2527.25,2527.75,2525.50,"9,319",2652.00 / 2400.00,19:31:25 CT 02 Oct 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",2525.75,-0.25,2526.00,2526.75,2527.25,2525.25,21,2651.50 / 2399.50,19:31:11 CT 02 Oct 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2525.75,-,-,-,0,2651.00 / 2399.00,19:20:16 CT 02 Oct 2017
"
SEP 2018
","
SEP 2018
","

Show Price Chart

",-,-,2525.50,-,-,-,0,2651.00 / 2399.00,18:14:54 CT 02 Oct 2017
"
DEC 2018
","
DEC 2018
","

Show Price Chart

",-,-,2526.25,-,-,-,0,2651.50 / 2399.50,19:20:16 CT 02 Oct 2017
