Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
JUN 2017
","
JUN 2017
","

Show Price Chart

",2392.75,0.00,2392.75,2393.50,2394.75,2392.50,"4,054",2511.50 / 2272.50,17:32:59 CT 22 May 2017
"
SEP 2017
","
SEP 2017
","

Show Price Chart

",2391.00,+1.25,2389.75,2390.50,2391.00,2390.00,8,2508.50 / 2269.50,17:19:33 CT 22 May 2017
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",-,-,2386.75,-,-,-,0,2505.50 / 2266.50,17:13:42 CT 22 May 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",-,-,2384.50,-,-,-,0,2503.50 / 2264.50,17:32:30 CT 22 May 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2385.50,-,-,-,0,2504.50 / 2265.50,16:45:00 CT 22 May 2017
