Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
SEP 2017
","
SEP 2017
","

Show Price Chart

",2424.00,-0.50,2424.50,2423.75,2424.00,2422.50,"3,658",2546.50 / 2304.50,17:53:03 CT 10 Jul 2017
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",2421.75,-0.75,2422.50,2421.00,2421.75,2421.00,5,2544.50 / 2302.50,17:52:18 CT 10 Jul 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",-,-,2421.00,-,-,-,0,2543.00 / 2301.00,17:35:04 CT 10 Jul 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2420.00,-,-,-,0,2542.00 / 2300.00,17:35:04 CT 10 Jul 2017
"
SEP 2018
","
SEP 2018
","

Show Price Chart

",-,-,2420.00,-,-,-,0,2542.00 / 2300.00,17:00:21 CT 10 Jul 2017
